Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage,kfold
1132,1,2,2,40,38.0,8,2,0,0
531,1,1,2,30,33.0,0,2,0,0
1576,1,1,2,60,40.0,10,3,0,0
1678,1,1,2,10,34.0,10,2,0,0
232,1,1,3,30,25.0,0,3,0,0
984,1,2,2,15,20.0,16,1,0,0
1478,1,2,2,30,18.0,19,3,0,0
1575,1,2,2,20,22.0,20,3,0,0
1575,1,1,2,40,26.0,16,2,0,0
2267,1,1,2,40,39.0,9,1,0,0
1385,1,2,3,25,40.0,0,2,1,0
1132,1,1,2,20,22.0,19,1,1,0
188,1,2,2,25,13.0,3,1,0,0
2999,1,1,2,20,50.0,4,1,2,0
1478,2,1,2,30,34.0,4,1,1,0
851,1,2,2,20,32.0,9,3,0,0
1297,1,1,3,15,38.0,0,1,1,0
1132,1,1,2,20,46.0,2,1,0,0
1385,1,2,2,25,34.0,13,2,0,0
2688,2,1,3,10,37.0,0,2,0,0
1212,1,1,2,20,26.0,15,2,0,0
677,2,2,3,20,15.0,0,1,1,0
2688,2,1,2,5,12.0,20,2,0,0
531,1,2,2,15,17.0,16,1,0,0
1212,2,1,2,20,20.0,21,2,0,0
915,1,1,2,15,34.0,2,1,0,0
984,2,1,2,15,30.0,10,1,0,0
677,1,2,2,30,31.0,4,2,0,0
851,1,2,2,20,28.0,9,1,0,0
1212,1,2,3,15,35.0,0,3,0,0
188,2,1,3,25,20.0,0,3,0,0
1478,1,1,2,20,24.0,16,3,0,0
1132,1,1,2,60,29.0,9,3,1,0
677,2,1,3,20,11.0,0,1,0,0
1576,1,1,3,10,50.0,0,1,0,0
2542,1,2,2,20,20.0,22,2,0,0
410,2,1,2,5,24.0,0,2,0,0
1678,1,1,2,20,14.0,4,2,0,0
1898,2,1,2,30,35.0,1,3,0,0
1296,1,2,3,10,10.0,0,3,0,0
3164,1,2,2,10,40.0,19,1,2,0
188,2,2,3,10,21.0,0,1,0,0
2402,2,1,2,10,39.0,15,3,0,0
448,2,1,2,10,5.0,4,1,0,0
1478,1,2,2,20,25.0,17,1,0,0
1212,1,2,2,30,40.0,4,1,1,0
577,2,1,2,30,15.0,9,1,0,0
1056,2,1,2,10,32.0,4,2,0,0
1478,1,2,2,15,32.0,8,2,0,0
1056,1,2,2,15,36.0,1,2,0,0
209,2,1,3,15,10.0,0,1,0,0
677,2,1,2,10,17.0,14,2,0,0
731,1,1,2,30,20.0,14,2,0,0
1296,1,2,2,10,10.0,22,3,0,0
677,1,2,2,40,33.0,1,2,0,0
1898,1,1,2,10,14.0,24,2,0,0
257,1,1,2,15,20.0,0,1,0,0
342,2,2,3,20,31.0,0,3,0,0
2016,1,2,2,30,12.0,26,3,0,0
2267,2,1,2,20,40.0,9,2,0,0
2688,1,2,2,40,30.0,27,2,0,0
1056,1,2,2,15,21.0,17,3,0,0
2401,2,1,2,15,29.0,25,3,0,0
488,1,2,3,45,33.0,0,2,0,0
3500,1,2,2,20,40.0,16,2,1,0
3500,1,1,2,40,45.0,14,2,0,0
1132,1,2,2,40,34.0,10,2,0,0
984,1,2,2,75,25.0,15,2,0,0
677,1,2,2,20,13.0,4,1,0,0
2688,1,1,2,40,25.0,27,2,0,0
1385,1,2,2,10,10.0,16,2,0,0
677,1,1,2,40,34.0,4,1,0,0
577,1,1,2,15,13.0,19,3,0,0
789,1,1,2,40,31.0,13,2,0,0
2541,1,2,2,15,30.0,1,2,1,0
1385,1,1,3,40,51.0,0,3,0,0
2840,1,2,3,25,60.0,0,1,1,0
1056,1,2,2,60,22.0,20,2,0,0
677,2,1,3,40,30.0,0,2,2,0
625,1,1,2,40,18.0,16,1,1,0
1132,1,2,2,40,40.0,0,1,0,0
1212,2,1,3,10,30.0,0,1,0,0
342,2,1,3,5,15.0,0,2,0,0
342,1,2,2,20,25.0,1,2,0,0
2267,1,2,2,10,30.0,19,2,0,0
1785,1,2,3,15,49.0,0,2,1,0
1575,1,1,2,20,19.0,29,2,0,0
3500,1,1,1,0,0.0,0,1,1,0
375,2,1,3,10,7.0,0,2,0,0
2016,2,2,3,15,41.0,0,3,0,0
1212,1,2,2,10,13.0,29,2,0,0
1212,1,1,3,10,20.0,0,1,0,0
448,1,2,2,40,22.0,8,3,0,0
1678,2,1,2,15,35.0,31,1,0,0
375,2,2,3,20,33.0,0,1,0,0
1297,1,2,2,10,23.0,15,2,0,0
1132,1,1,2,10,36.0,4,2,0,0
1296,2,2,3,10,40.0,0,2,1,0
677,2,1,3,5,29.0,0,1,0,0
1576,1,1,2,10,25.0,14,2,0,0
2138,1,1,2,30,32.0,18,2,0,0
3500,1,1,2,20,35.0,15,2,1,0
577,1,2,2,40,25.0,3,1,0,0
3500,1,2,2,20,34.0,20,2,0,0
1678,1,2,2,60,12.0,25,3,0,0
731,1,2,3,30,15.0,0,1,0,0
2138,2,1,2,20,40.0,6,2,0,0
1212,1,1,3,45,40.0,0,1,2,0
789,1,1,3,10,41.0,0,1,0,0
2401,1,2,2,15,20.0,32,1,0,0
626,2,1,3,35,11.0,0,2,0,0
488,1,2,3,15,32.0,0,1,0,0
1056,2,1,2,5,39.0,2,1,1,0
984,1,2,2,20,22.0,14,1,0,0
790,1,1,3,60,40.0,0,2,0,0
531,1,1,2,20,28.0,3,2,0,0
1478,2,1,3,10,33.0,0,1,0,0
1678,2,1,2,20,35.0,2,1,0,0
1478,1,2,2,10,45.0,2,2,0,0
1212,1,2,3,30,38.0,0,1,0,0
1898,2,2,3,30,56.0,0,2,0,0
1212,2,1,2,20,44.0,4,2,0,0
1898,1,1,3,20,54.0,0,2,1,0
677,1,2,2,60,24.0,13,1,0,0
410,2,1,3,10,30.0,0,2,0,0
448,1,2,3,55,31.0,0,3,0,0
1385,1,2,2,5,20.0,20,2,1,0
2840,2,1,2,20,40.0,2,3,1,0
3500,1,1,2,10,22.0,46,1,1,0
1385,1,1,2,5,39.0,6,3,1,0
2688,2,1,2,10,38.0,4,2,0,0
2139,1,2,2,20,50.0,1,2,0,0
577,1,2,2,25,18.0,9,2,0,0
916,1,2,2,40,19.0,17,1,0,0
789,1,1,2,40,21.0,0,3,0,0
731,1,2,2,15,16.0,21,1,0,0
915,1,1,2,25,23.0,7,2,0,0
1212,1,2,2,15,32.0,4,1,0,0
677,2,2,3,50,34.0,0,2,1,0
1132,1,1,2,15,35.0,4,1,0,0
1132,1,1,2,60,27.0,13,3,0,0
2401,1,2,2,20,50.0,6,2,1,0
1678,1,1,2,40,29.0,10,1,0,0
375,1,2,2,20,15.0,14,2,0,0
1132,1,1,3,30,50.0,0,2,1,0
1132,2,1,2,40,30.0,13,2,0,0
1296,1,2,2,20,20.0,25,1,1,0
1132,2,1,2,5,5.0,9,1,0,0
790,2,1,2,40,10.0,1,2,0,0
1212,1,2,2,40,26.0,19,2,0,0
232,2,2,3,30,13.0,0,2,0,0
375,1,1,3,60,32.0,0,1,0,0
1385,1,2,2,50,36.0,9,1,2,0
577,1,2,2,20,30.0,5,2,0,0
2016,1,2,2,60,26.0,23,3,0,0
677,2,1,2,20,22.0,14,2,0,0
2402,2,1,3,10,41.0,0,2,0,0
732,2,1,2,10,14.0,11,3,0,0
2999,1,1,2,15,34.0,24,1,1,0
2542,1,1,3,20,63.0,0,2,0,0
3164,1,1,2,15,39.0,22,1,0,0
577,2,1,2,10,12.0,10,1,0,0
1212,1,2,2,30,32.0,16,2,0,0
2138,1,2,3,30,46.0,0,2,0,0
1785,1,2,2,35,44.0,7,2,0,0
489,1,1,3,60,27.0,0,2,0,0
1898,2,1,2,50,37.0,2,1,0,0
1576,1,2,2,10,10.0,29,2,0,0
1056,1,1,2,30,39.0,3,1,0,0
789,1,1,2,60,25.0,10,2,0,0
2138,1,1,3,25,43.0,0,2,0,0
732,2,2,3,30,36.0,0,2,1,0
3336,1,2,1,0,0.0,0,1,1,0
790,1,1,2,60,29.0,12,2,0,0
851,1,2,3,5,8.0,0,3,0,0
410,2,1,2,20,30.0,0,1,0,0
150,2,1,3,20,11.0,0,3,0,0
732,1,2,2,20,33.0,1,1,1,0
1898,2,1,3,15,48.0,0,2,2,0
915,1,2,2,20,27.0,7,2,0,0
1478,1,2,2,45,24.0,11,1,0,0
3164,1,1,2,20,40.0,18,2,0,0
1385,2,1,2,10,28.0,3,3,0,0
625,1,2,3,30,30.0,0,2,1,0
732,1,2,2,20,14.0,21,1,0,0
375,1,1,3,10,16.0,0,3,0,0
2999,2,1,3,10,39.0,0,2,0,0
2999,1,1,2,10,29.0,14,2,0,0
1297,2,2,3,10,12.0,0,1,0,0
1385,1,2,3,20,44.0,0,3,0,0
984,2,2,3,40,45.0,0,1,2,0
984,2,2,3,15,36.0,0,2,0,0
283,2,1,3,20,17.0,0,1,0,0
2016,1,1,2,15,30.0,10,2,0,0
411,2,1,3,25,17.0,0,3,0,0
1678,1,2,2,20,8.0,24,2,1,0
625,2,2,3,20,34.0,0,2,0,0
1678,1,1,2,5,23.0,18,1,0,0
2688,2,1,2,20,58.0,0,2,0,0
731,1,1,2,50,19.0,16,1,0,0
1898,1,2,2,20,30.0,18,2,1,0
1132,2,1,2,20,22.0,20,2,0,0
2267,1,2,2,20,32.0,9,2,0,0
3164,1,1,2,10,30.0,15,3,1,0
375,2,1,2,10,15.0,10,2,0,0
375,2,1,3,20,23.0,0,2,1,0
1576,1,2,3,15,46.0,0,3,1,0
3500,1,1,3,5,56.0,0,2,0,0
1385,1,1,2,15,24.0,19,2,0,0
3500,1,1,2,20,27.0,32,2,0,0
984,1,2,2,60,14.0,24,1,0,0
2542,1,2,3,60,54.0,0,2,2,0
1056,1,2,2,90,29.0,7,1,1,0
375,1,1,2,40,22.0,5,3,0,0
311,2,1,3,15,21.0,0,2,0,0
1385,1,1,2,25,41.0,8,3,0,0
2139,2,1,2,40,24.0,28,1,0,0
1297,1,2,2,50,12.0,25,2,0,0
1056,1,2,2,5,11.0,27,2,0,0
1785,1,1,2,20,28.0,20,3,0,0
1132,1,2,2,40,42.0,0,2,0,0
790,2,2,3,35,13.0,0,2,0,0
2139,1,1,3,50,52.0,0,2,0,0
984,1,1,2,20,29.0,7,1,0,0
256,2,1,2,20,30.0,1,2,0,0
916,1,2,2,40,18.0,17,1,0,0
1786,1,2,3,10,34.0,0,1,0,0
531,1,1,2,10,17.0,13,2,0,0
1297,1,1,2,20,17.0,30,2,0,0
2267,1,1,2,45,46.0,6,2,0,0
283,2,2,3,35,23.0,0,3,0,0
1478,1,1,2,40,11.0,29,2,0,0
1678,1,2,2,40,40.0,10,2,0,0
2401,1,1,3,15,55.0,0,1,0,0
2016,1,2,2,50,24.0,19,3,0,0
1385,2,1,2,30,34.0,14,2,0,0
150,2,1,3,30,15.0,0,1,0,0
531,2,2,3,35,30.0,0,2,1,0
1786,2,1,3,20,17.0,0,2,0,0
677,1,2,2,60,35.0,0,2,0,0
1478,1,1,2,20,30.0,9,1,0,0
1576,2,2,3,25,38.0,0,3,0,0
851,1,2,2,55,23.0,17,2,0,0
915,1,2,2,30,20.0,20,2,0,0
1678,1,2,2,20,17.0,28,2,0,0
531,1,2,2,15,16.0,17,2,0,0
2015,1,2,2,20,17.0,30,1,0,0
1786,2,1,2,20,40.0,4,2,0,0
2267,1,1,3,60,55.0,0,2,0,0
1296,1,1,2,20,31.0,19,2,0,0
1478,1,2,2,20,19.0,23,1,0,0
984,1,2,2,20,17.0,17,2,0,0
2687,1,1,2,10,44.0,7,1,0,0
677,1,1,2,15,20.0,1,3,0,0
3500,1,2,2,40,48.0,9,1,0,0
2840,1,2,2,10,30.0,25,3,1,0
984,1,1,3,40,38.0,0,2,2,0
1132,2,2,3,20,18.0,0,2,0,0
2267,2,2,3,20,44.0,0,2,0,0
1786,2,1,3,30,36.0,0,3,1,0
1056,1,1,2,20,16.0,21,1,0,0
1385,2,1,2,10,32.0,13,2,0,0
577,1,2,2,20,10.0,8,3,0,0
1576,1,1,2,10,31.0,17,2,1,0
577,1,2,2,20,13.0,16,1,0,0
1296,1,2,2,60,41.0,4,1,0,0
1478,1,1,1,0,0.0,0,2,1,0
731,1,1,2,20,23.0,14,3,0,0
677,1,2,3,10,29.0,0,2,0,0
2402,1,2,2,60,30.0,25,2,1,0
3500,1,1,3,10,45.0,0,3,0,0
1212,1,2,2,15,27.0,16,2,0,0
790,1,2,2,40,28.0,7,1,0,0
1898,1,1,3,5,40.0,0,2,0,0
1212,1,2,2,5,42.0,5,2,0,0
1132,1,1,3,60,46.0,0,1,0,0
1678,2,1,2,15,48.0,2,3,0,0
1576,2,2,3,25,46.0,0,2,0,0
2267,1,1,3,40,52.0,0,3,1,0
851,1,1,1,0,0.0,0,2,1,0
2402,1,1,2,10,32.0,22,2,0,0
577,1,2,2,5,25.0,5,2,0,0
2267,1,1,3,50,48.0,0,1,0,0
789,1,1,2,20,34.0,5,1,0,0
1785,1,1,2,30,21.0,26,3,1,0
984,2,1,2,25,20.0,20,3,0,0
488,2,1,2,10,20.0,9,2,0,0
1056,2,1,2,15,15.0,12,1,0,0
375,2,1,2,10,9.0,10,1,0,0
2015,2,1,3,10,51.0,0,2,0,0
411,2,2,3,70,33.0,0,3,0,0
448,1,1,2,15,16.0,12,3,0,0
2267,1,2,2,20,20.0,25,1,0,0
1786,2,1,3,10,25.0,0,2,1,0
790,1,1,2,5,25.0,3,3,0,0
488,1,2,3,25,31.0,0,1,0,0
1478,1,2,2,20,32.0,22,3,0,0
1575,1,1,2,40,21.0,25,1,1,0
3500,1,2,2,10,35.0,20,2,0,0
984,1,1,2,25,29.0,8,2,0,0
2999,1,1,2,40,20.0,42,2,0,0
2688,2,1,2,40,21.0,12,1,0,0
577,2,1,3,45,30.0,0,2,0,0
2402,2,1,2,20,21.0,18,1,0,0
577,1,2,3,25,35.0,0,2,1,0
1056,1,2,2,10,17.0,0,2,0,0
1385,2,1,2,10,37.0,10,2,0,0
488,2,2,3,20,35.0,0,1,0,0
448,2,1,3,10,10.0,0,2,0,0
488,1,2,3,20,19.0,0,2,0,0
531,1,2,2,60,31.0,3,2,0,0
677,1,2,2,40,11.0,9,1,0,0
677,2,1,2,60,12.0,18,1,0,0
1385,1,1,2,30,21.0,19,2,0,0
1132,1,1,2,60,19.0,16,1,0,0
851,1,2,2,25,28.0,4,2,0,0
915,2,1,2,5,36.0,0,1,0,0
1385,1,1,2,10,9.0,30,1,0,0
2016,1,1,2,20,23.0,25,1,0,0
2401,1,2,2,20,23.0,26,3,0,0
2016,1,1,3,50,50.0,0,2,0,0
2402,1,1,2,40,31.0,18,2,0,0
1132,1,2,2,10,10.0,26,2,0,0
1056,1,1,2,5,32.0,7,2,0,0
232,2,1,3,30,14.0,0,2,0,0
1296,1,2,3,10,44.0,0,2,0,0
677,2,1,2,5,16.0,21,2,0,0
1385,2,1,2,5,26.0,6,2,0,0
448,2,1,2,20,19.0,0,2,0,0
2688,1,2,3,20,53.0,0,2,0,0
2016,1,1,2,10,26.0,22,2,0,0
1786,1,2,2,25,38.0,10,2,0,0
1385,1,2,2,50,28.0,15,2,1,0
531,2,1,2,80,28.0,9,2,1,0
256,1,2,2,15,14.0,6,1,0,0
1212,2,1,3,30,40.0,0,1,1,0
1678,1,2,3,5,47.0,0,2,0,0
531,2,1,3,35,25.0,0,2,0,0
1898,1,1,2,30,32.0,22,1,0,0
2542,1,1,2,40,42.0,14,3,0,0
2016,1,2,2,40,38.0,11,2,0,0
1056,2,1,3,10,38.0,0,1,0,0
1385,1,1,3,15,52.0,0,2,2,0
851,1,1,2,10,15.0,18,2,0,0
851,1,2,2,25,9.0,19,2,0,0
531,2,1,2,15,15.0,8,3,0,0
1296,2,1,2,35,30.0,9,1,0,0
232,1,1,3,60,21.0,0,2,0,0
984,2,1,2,15,15.0,24,2,0,0
1576,1,2,2,10,24.0,14,3,1,0
1785,2,2,3,20,27.0,0,1,0,0
1296,1,1,2,20,40.0,8,2,0,0
1056,1,2,3,15,39.0,0,2,1,0
2999,1,1,2,20,15.0,25,2,0,0
2688,1,2,2,30,37.0,20,1,0,0
2401,1,2,2,30,42.0,6,1,1,0
984,1,2,3,10,46.0,0,2,0,0
1132,1,2,2,40,16.0,20,3,0,0
1576,1,2,2,20,12.0,28,2,0,0
3500,1,2,2,10,47.0,15,2,0,0
411,1,1,1,0,0.0,0,3,1,0
2999,2,1,2,40,46.0,4,2,0,0
3336,1,2,3,20,56.0,0,3,1,0
915,1,2,2,20,27.0,3,2,0,0
2267,1,2,2,20,29.0,2,2,0,0
283,1,2,3,15,19.0,0,2,1,0
851,2,2,3,30,25.0,0,2,0,0
677,1,2,2,10,11.0,20,1,0,0
2016,1,1,2,20,40.0,8,1,0,0
1385,1,2,2,60,49.0,2,1,0,0
2138,1,2,2,10,14.0,33,1,0,0
1385,2,1,3,40,44.0,0,1,1,0
789,2,1,2,30,30.0,0,2,0,0
2267,1,2,2,25,47.0,7,2,0,0
1132,1,2,3,15,40.0,0,2,2,0
1297,1,2,2,20,28.0,10,3,0,0
1898,2,2,3,20,14.0,0,2,0,0
2401,1,1,2,20,33.0,20,3,0,0
1212,2,2,3,20,9.0,0,3,0,0
2016,2,2,3,15,52.0,0,2,0,0
2016,2,1,2,10,24.0,26,2,0,0
1056,2,1,3,10,30.0,0,2,1,0
2999,1,1,2,15,35.0,19,2,0,0
2267,1,2,2,10,38.0,20,2,0,0
2542,1,1,2,20,46.0,12,1,0,0
375,1,1,2,40,16.0,11,2,0,0
488,1,2,2,20,23.0,5,2,0,0
2138,1,2,2,40,22.0,30,1,0,0
2840,2,1,2,20,40.0,13,3,0,0
731,1,1,3,15,20.0,0,2,0,0
1056,1,2,2,10,31.0,10,1,0,0
1898,2,1,2,30,45.0,4,1,0,0
1786,1,2,2,20,20.0,25,2,0,0
677,1,2,2,10,9.0,20,2,0,0
577,2,1,3,40,7.0,0,2,1,0
531,2,1,2,30,15.0,5,2,0,0
2688,2,2,3,20,38.0,0,2,0,0
1478,1,1,2,5,39.0,3,2,0,0
851,1,2,2,15,12.0,4,1,0,0
851,1,1,2,20,20.0,19,3,0,0
1297,2,1,2,15,27.0,14,1,0,0
916,1,2,2,40,40.0,2,2,0,0
732,1,1,2,5,24.0,7,1,0,0
448,1,2,2,20,15.0,11,3,0,0
1786,2,1,2,20,50.0,3,2,0,0
2840,1,2,2,20,41.0,11,2,1,0
1898,2,2,3,40,18.0,0,2,0,0
3500,1,1,2,30,50.0,8,2,2,0
1056,1,2,2,40,36.0,5,1,0,0
2688,2,1,2,5,20.0,14,3,0,0
731,1,2,2,40,16.0,15,3,0,0
732,1,1,3,20,25.0,0,2,0,0
312,2,1,3,5,24.0,0,2,0,0
1385,1,2,2,10,12.0,25,2,0,0
732,1,1,2,30,12.0,2,2,0,0
1385,1,2,2,35,30.0,4,3,0,0
2688,1,2,2,10,15.0,28,1,1,0
1132,2,1,2,40,35.0,9,2,0,0
2267,1,2,2,50,23.0,28,3,0,0
1056,1,2,2,30,26.0,15,1,0,0
3500,2,1,3,10,50.0,0,1,0,0
1212,2,1,1,0,0.0,0,3,0,0
2139,1,2,2,20,30.0,28,2,0,0
915,1,1,2,20,32.0,2,1,0,0
3500,1,1,2,20,47.0,14,1,1,0
3500,1,1,2,40,41.0,25,1,0,0
2688,1,1,2,20,26.0,22,2,0,0
2999,1,1,3,25,60.0,0,3,0,0
1678,2,1,2,30,23.0,13,2,0,0
851,1,2,2,10,17.0,21,3,0,0
2139,1,2,2,10,45.0,38,2,1,0
1297,1,1,2,30,13.0,28,3,0,0
1385,1,2,2,10,24.0,17,1,0,0
984,2,2,3,10,26.0,0,2,0,0
677,1,1,2,15,33.0,4,1,0,0
2542,1,2,2,20,23.0,20,2,0,0
1385,1,2,2,60,40.0,9,2,0,0
531,2,2,3,5,25.0,0,2,0,0
1786,2,1,2,20,48.0,5,2,0,0
2402,1,1,2,35,36.0,20,2,0,0
2401,2,1,3,40,54.0,0,2,2,0
1478,1,1,2,15,24.0,22,1,0,0
2999,2,1,3,20,53.0,0,3,1,0
2016,2,1,3,20,43.0,0,2,2,0
2267,1,1,2,10,32.0,19,1,0,0
1212,1,2,2,20,13.0,25,2,0,0
1056,2,2,3,15,27.0,0,1,0,0
1898,2,1,2,60,50.0,1,1,0,0
1478,2,1,2,50,29.0,20,2,0,0
1296,2,1,2,5,5.0,10,3,0,0
1785,2,2,3,5,15.0,0,2,1,0
3500,1,2,2,10,22.0,38,3,0,0
2542,1,2,3,20,59.0,0,2,0,0
577,2,1,3,25,34.0,0,1,0,0
1297,1,1,2,20,34.0,12,2,0,0
410,2,1,3,15,29.0,0,1,0,0
1132,1,2,2,40,21.0,23,2,0,0
1056,1,1,2,20,20.0,22,1,0,0
1786,1,2,2,10,26.0,20,3,0,0
1678,2,1,2,20,21.0,24,1,0,0
1296,1,1,2,40,31.0,12,1,0,0
2015,2,1,3,20,45.0,0,2,2,0
188,2,2,3,10,18.0,0,2,0,0
1898,1,1,2,40,40.0,11,2,1,0
1678,1,2,2,20,10.0,34,2,1,0
731,2,1,2,20,22.0,13,3,0,0
1132,2,1,1,0,0.0,0,2,1,0
531,1,1,2,30,26.0,5,1,0,0
732,2,1,2,20,11.0,6,2,0,0
2542,1,2,2,40,35.0,4,1,2,0
2016,1,1,2,30,27.0,6,1,0,0
3500,1,2,2,10,25.0,25,3,1,0
984,2,1,2,10,30.0,8,1,0,0
732,1,2,2,30,20.0,16,2,0,0
984,1,2,2,10,22.0,12,3,0,0
2840,1,2,3,35,54.0,0,1,1,0
410,1,2,2,15,15.0,0,2,0,0
410,1,1,2,20,23.0,8,2,0,0
2401,1,2,2,20,27.0,20,1,0,0
188,2,1,3,15,12.0,0,2,0,0
1385,1,2,2,20,10.0,30,2,0,0
1898,1,1,2,15,21.0,28,1,0,0
1576,1,1,3,50,47.0,0,3,1,0
984,1,2,2,20,35.0,2,2,0,0
851,1,1,2,20,29.0,17,3,0,0
531,1,2,3,35,39.0,0,3,0,0
732,2,1,3,15,39.0,0,2,0,0
2267,1,1,2,10,16.0,35,2,1,0
2267,2,1,2,10,31.0,7,3,0,0
2138,1,2,2,30,33.0,14,2,1,0
1385,1,1,2,30,36.0,8,1,0,0
1478,1,1,2,10,34.0,12,2,0,0
257,1,2,2,20,12.0,5,2,0,0
1575,1,2,3,30,25.0,0,2,1,0
531,1,2,2,30,19.0,13,2,0,0
1296,1,1,2,40,33.0,11,2,1,0
1478,1,1,2,40,25.0,20,1,2,0
851,1,1,2,80,40.0,3,2,0,0
1296,1,2,3,35,43.0,0,1,1,0
283,1,2,3,15,27.0,0,3,0,0
2688,2,1,2,10,30.0,17,2,0,0
531,1,2,2,35,15.0,3,2,0,0
984,2,1,2,10,23.0,0,1,0,0
3500,1,2,2,20,12.0,47,3,0,0
1056,1,1,2,25,22.0,21,1,0,0
1056,2,2,3,50,40.0,0,1,0,0
2999,1,1,2,5,15.0,24,2,0,0
1576,1,2,2,40,35.0,16,3,0,0
984,1,2,2,25,10.0,18,2,0,0
1132,1,1,3,50,12.0,0,2,0,0
1056,1,1,2,20,16.0,17,2,0,0
2267,1,2,3,40,57.0,0,3,2,0
732,2,1,2,40,22.0,13,2,0,0
2688,1,2,2,50,50.0,27,2,0,0
732,2,1,3,50,36.0,0,3,0,0
488,1,2,2,5,16.0,16,1,0,0
577,1,2,2,60,11.0,14,2,0,0
915,2,1,2,20,20.0,10,2,0,0
1898,1,2,2,40,39.0,1,3,0,0
1132,1,2,2,95,42.0,8,2,0,0
916,1,2,2,20,26.0,8,1,1,0
1296,1,1,3,20,49.0,0,2,2,0
2687,1,2,2,10,24.0,27,2,0,0
1898,1,2,2,20,10.0,32,1,0,0
577,2,1,3,15,27.0,0,2,0,0
851,1,1,2,30,22.0,15,3,0,0
677,1,2,2,45,13.0,20,2,0,0
1296,1,2,2,60,29.0,13,2,0,0
1132,1,1,3,10,23.0,0,3,0,0
2840,1,1,3,20,60.0,0,1,1,0
2267,1,2,3,15,53.0,0,2,0,0
626,1,1,2,50,34.0,5,3,0,0
3500,2,1,1,0,0.0,0,3,2,0
2542,1,2,2,10,44.0,9,2,0,0
677,1,2,3,10,30.0,0,1,2,0
2541,1,1,2,60,27.0,28,1,0,0
1385,1,2,2,20,33.0,7,2,1,0
1297,1,1,2,10,10.0,10,1,1,0
1678,1,1,2,5,35.0,5,2,0,0
984,1,2,2,20,27.0,10,1,0,0
3500,1,1,2,20,28.0,30,2,1,0
